,id,context,predict
0,50830,澳導遊抗議遭搶飯碗 2016-10-02 12:00 00 南洋商報 墨爾本華裔導遊星期五在當地機場，抗議中國凱撒國際旅行社，讓一組中國遊客團的領隊非法兼任導遊。（墨爾本1日訊）澳洲多名華裔導遊星期五抗議中國旅行社領隊兼任導遊，影響他們的生計。據知情人士透露，中國凱撒國際旅行社的一組中國遊客團，當天由山東青島出發並抵達墨爾本市，由該團的領隊兼任導遊。惟中國旅團在澳洲，必須由當地持有ADS導遊證的導遊來接待，而隨團領隊因為簽証問題，不得在澳洲擔任導遊。據報道，凱撒國際的做法惹來墨爾本華裔導遊不滿，約30人到墨爾本機場拉橫額抗議，並要求當局介入調查。當地警方其後到場了解事件。凱撒國際其後回應事件，承認該團領隊兼任導遊。發起抗議的華裔導遊，則準備向澳洲移民局和旅遊局告發事件。據悉，包括悉尼等城市也出現中國遊客團領隊兼任導遊的類似情況，這些城市的導遊同樣打算發起抗議行動。 分類 : 國際新聞(馬新) MCIL Multimedia Sdn Bhd 文件 NANYTW0020161001eca20000e,互联网
1,51050,澳導遊抗議遭搶飯碗 2016-10-02 12:00 00 南洋商報 墨爾本華裔導遊星期五在當地機場，抗議中國凱撒國際旅行社，讓一組中國遊客團的領隊非法兼任導遊。（墨爾本1日訊）澳洲多名華裔導遊星期五抗議中國旅行社領隊兼任導遊，影響他們的生計。據知情人士透露，中國凱撒國際旅行社的一組中國遊客團，當天由山東青島出發並抵達墨爾本市，由該團的領隊兼任導遊。惟中國旅團在澳洲，必須由當地持有ADS導遊證的導遊來接待，而隨團領隊因為簽証問題，不得在澳洲擔任導遊。據報道，凱撒國際的做法惹來墨爾本華裔導遊不滿，約30人到墨爾本機場拉橫額抗議，並要求當局介入調查。當地警方其後到場了解事件。凱撒國際其後回應事件，承認該團領隊兼任導遊。發起抗議的華裔導遊，則準備向澳洲移民局和旅遊局告發事件。據悉，包括悉尼等城市也出現中國遊客團領隊兼任導遊的類似情況，這些城市的導遊同樣打算發起抗議行動。 分類 : 國際新聞(馬新) MCIL Multimedia Sdn Bhd 文件 NANYTW0020161001eca20000e,互联网
2,50831,澳导游抗议遭抢饭碗 2016-10-02 12:00 00 南洋商报 墨尔本华裔导游星期五在当地机场，抗议中国凯撒国际旅行社，让一组中国游客团的领队非法兼任导游。（墨尔本1日讯）澳洲多名华裔导游星期五抗议中国旅行社领队兼任导游，影响他们的生计。据知情人士透露，中国凯撒国际旅行社的一组中国游客团，当天由山东青岛出发并抵达墨尔本市，由该团的领队兼任导游。惟中国旅团在澳洲，必须由当地持有ADS导游证的导游来接待，而随团领队因为签证问题，不得在澳洲担任导游。据报道，凯撒国际的做法惹来墨尔本华裔导游不满，约30人到墨尔本机场拉横额抗议，并要求当局介入调查。当地警方其后到场了解事件。凯撒国际其后回应事件，承认该团领队兼任导游。发起抗议的华裔导游，则准备向澳洲移民局和旅游局告发事件。据悉，包括悉尼等城市也出现中国游客团领队兼任导游的类似情况，这些城市的导游同样打算发起抗议行动。 分类 : 国际新闻(马新) MCIL Multimedia Sdn Bhd 文件 NANYAN0020161001eca20000h,体育
3,51051,澳导游抗议遭抢饭碗 2016-10-02 12:00 00 南洋商报 墨尔本华裔导游星期五在当地机场，抗议中国凯撒国际旅行社，让一组中国游客团的领队非法兼任导游。（墨尔本1日讯）澳洲多名华裔导游星期五抗议中国旅行社领队兼任导游，影响他们的生计。据知情人士透露，中国凯撒国际旅行社的一组中国游客团，当天由山东青岛出发并抵达墨尔本市，由该团的领队兼任导游。惟中国旅团在澳洲，必须由当地持有ADS导游证的导游来接待，而随团领队因为签证问题，不得在澳洲担任导游。据报道，凯撒国际的做法惹来墨尔本华裔导游不满，约30人到墨尔本机场拉横额抗议，并要求当局介入调查。当地警方其后到场了解事件。凯撒国际其后回应事件，承认该团领队兼任导游。发起抗议的华裔导游，则准备向澳洲移民局和旅游局告发事件。据悉，包括悉尼等城市也出现中国游客团领队兼任导游的类似情况，这些城市的导游同样打算发起抗议行动。 分类 : 国际新闻(马新) MCIL Multimedia Sdn Bhd 文件 NANYAN0020161001eca20000h,体育
4,50832,（槟城/中国张家界2日讯）世界最高最长的张家界大峡谷玻璃桥在8月试业后人潮爆满，张家界旅游局已积极争取明年夏秋季开通槟城直飞张家界航线，一周飞3班，一旦计划落实，张家界市政府将提供落地签证服务。 张家界市旅游和外事侨务委员会副主任邓少斌说，张家界有“海誓山盟”的产品，但不能没有天空桥梁，当局早在两年前便计划开通东南亚航线。 他说，从去年开始策划和在今年讨论后皆得到政府反应良好，因此希望在张家界和槟城架起天空桥梁，不过这方面需要中国南方航空的大力支持。 邓少斌日前在张家界碧桂园凰凤酒店接见南航（槟城）办事处张家界考察团后，透露这项好消息。他说，目前到访张家界的游客以韩国居多，其次台湾。韩国和张家界是姐妹市，高峰期一天6次航班。即使在秋冬季，也有游客到访张家界。 他说，张家界的天门山、武凌源和大峡谷都是核心景区和国际品牌，而大峡谷玻璃桥试业后更是增添魅力，是中国当今最火热的景区，但基于安全每日只接待上限1万人，一次桥上最大游客容量800人，目前情况是一票难求。 “去年到访张家界的游客多达5000多万人次，今年至今已达到6500万人次，我们目标是明年创下7500万人次。” 湖南张家界华天入境国际旅行社经理刘义说，其实在今年8月，该社便通过包机槟城直飞长沙，希望明年顺利开通槟城直飞张家界航线，让更多人到访张家界。 他说，只要从槟城直飞张家界，张家界市政府将提供落地签证（团签）服务，只需人民币130元（马币约80令吉）。 参与此次考察团成员包括南航（槟城）办事处总经理王旭、南航（槟城）办事处销售业务主管王俪黄今、大马华人旅游业公会槟城分会会长蔡德兴、副会长詹雅评、秘书吴荣汶、理事陈绣静以及7家槟城核心旅行社负责人。 MCIL Multimedia Sdn Bhd 文件 GMDDCN0020161102ecb300007,体育
5,50877,（槟城/中国张家界2日讯）世界最高最长的张家界大峡谷玻璃桥在8月试业后人潮爆满，张家界旅游局已积极争取明年夏秋季开通槟城直飞张家界航线，一周飞3班，一旦计划落实，张家界市政府将提供落地签证服务。 张家界市旅游和外事侨务委员会副主任邓少斌说，张家界有“海誓山盟”的产品，但不能没有天空桥梁，当局早在两年前便计划开通东南亚航线。 他说，从去年开始策划和在今年讨论后皆得到政府反应良好，因此希望在张家界和槟城架起天空桥梁，不过这方面需要中国南方航空的大力支持。 邓少斌日前在张家界碧桂园凰凤酒店接见南航（槟城）办事处张家界考察团后，透露这项好消息。他说，目前到访张家界的游客以韩国居多，其次台湾。韩国和张家界是姐妹市，高峰期一天6次航班。即使在秋冬季，也有游客到访张家界。 他说，张家界的天门山、武凌源和大峡谷都是核心景区和国际品牌，而大峡谷玻璃桥试业后更是增添魅力，是中国当今最火热的景区，但基于安全每日只接待上限1万人，一次桥上最大游客容量800人，目前情况是一票难求。 “去年到访张家界的游客多达5000多万人次，今年至今已达到6500万人次，我们目标是明年创下7500万人次。” 湖南张家界华天入境国际旅行社经理刘义说，其实在今年8月，该社便通过包机槟城直飞长沙，希望明年顺利开通槟城直飞张家界航线，让更多人到访张家界。 他说，只要从槟城直飞张家界，张家界市政府将提供落地签证（团签）服务，只需人民币130元（马币约80令吉）。 参与此次考察团成员包括南航（槟城）办事处总经理王旭、南航（槟城）办事处销售业务主管王俪黄今、大马华人旅游业公会槟城分会会长蔡德兴、副会长詹雅评、秘书吴荣汶、理事陈绣静以及7家槟城核心旅行社负责人。 MCIL Multimedia Sdn Bhd 文件 GMDDCN0020161102ecb300007,体育
6,51056,（槟城/中国张家界2日讯）世界最高最长的张家界大峡谷玻璃桥在8月试业后人潮爆满，张家界旅游局已积极争取明年夏秋季开通槟城直飞张家界航线，一周飞3班，一旦计划落实，张家界市政府将提供落地签证服务。 张家界市旅游和外事侨务委员会副主任邓少斌说，张家界有“海誓山盟”的产品，但不能没有天空桥梁，当局早在两年前便计划开通东南亚航线。 他说，从去年开始策划和在今年讨论后皆得到政府反应良好，因此希望在张家界和槟城架起天空桥梁，不过这方面需要中国南方航空的大力支持。 邓少斌日前在张家界碧桂园凰凤酒店接见南航（槟城）办事处张家界考察团后，透露这项好消息。他说，目前到访张家界的游客以韩国居多，其次台湾。韩国和张家界是姐妹市，高峰期一天6次航班。即使在秋冬季，也有游客到访张家界。 他说，张家界的天门山、武凌源和大峡谷都是核心景区和国际品牌，而大峡谷玻璃桥试业后更是增添魅力，是中国当今最火热的景区，但基于安全每日只接待上限1万人，一次桥上最大游客容量800人，目前情况是一票难求。 “去年到访张家界的游客多达5000多万人次，今年至今已达到6500万人次，我们目标是明年创下7500万人次。” 湖南张家界华天入境国际旅行社经理刘义说，其实在今年8月，该社便通过包机槟城直飞长沙，希望明年顺利开通槟城直飞张家界航线，让更多人到访张家界。 他说，只要从槟城直飞张家界，张家界市政府将提供落地签证（团签）服务，只需人民币130元（马币约80令吉）。 参与此次考察团成员包括南航（槟城）办事处总经理王旭、南航（槟城）办事处销售业务主管王俪黄今、大马华人旅游业公会槟城分会会长蔡德兴、副会长詹雅评、秘书吴荣汶、理事陈绣静以及7家槟城核心旅行社负责人。 MCIL Multimedia Sdn Bhd 文件 GMDDCN0020161102ecb300007,体育
7,51096,（槟城/中国张家界2日讯）世界最高最长的张家界大峡谷玻璃桥在8月试业后人潮爆满，张家界旅游局已积极争取明年夏秋季开通槟城直飞张家界航线，一周飞3班，一旦计划落实，张家界市政府将提供落地签证服务。 张家界市旅游和外事侨务委员会副主任邓少斌说，张家界有“海誓山盟”的产品，但不能没有天空桥梁，当局早在两年前便计划开通东南亚航线。 他说，从去年开始策划和在今年讨论后皆得到政府反应良好，因此希望在张家界和槟城架起天空桥梁，不过这方面需要中国南方航空的大力支持。 邓少斌日前在张家界碧桂园凰凤酒店接见南航（槟城）办事处张家界考察团后，透露这项好消息。他说，目前到访张家界的游客以韩国居多，其次台湾。韩国和张家界是姐妹市，高峰期一天6次航班。即使在秋冬季，也有游客到访张家界。 他说，张家界的天门山、武凌源和大峡谷都是核心景区和国际品牌，而大峡谷玻璃桥试业后更是增添魅力，是中国当今最火热的景区，但基于安全每日只接待上限1万人，一次桥上最大游客容量800人，目前情况是一票难求。 “去年到访张家界的游客多达5000多万人次，今年至今已达到6500万人次，我们目标是明年创下7500万人次。” 湖南张家界华天入境国际旅行社经理刘义说，其实在今年8月，该社便通过包机槟城直飞长沙，希望明年顺利开通槟城直飞张家界航线，让更多人到访张家界。 他说，只要从槟城直飞张家界，张家界市政府将提供落地签证（团签）服务，只需人民币130元（马币约80令吉）。 参与此次考察团成员包括南航（槟城）办事处总经理王旭、南航（槟城）办事处销售业务主管王俪黄今、大马华人旅游业公会槟城分会会长蔡德兴、副会长詹雅评、秘书吴荣汶、理事陈绣静以及7家槟城核心旅行社负责人。 MCIL Multimedia Sdn Bhd 文件 GMDDCN0020161102ecb300007,体育
8,50833,G20杭州峰会9月4日至5日召开，杭州市政府定于9月1日至7日放假。 旅游业者想尽办法，“喊”杭州市民出城游玩。 顾功垒　上海特派员 gugl@sph.com.sg 　　 距离二十国集团（G20）杭州峰会召开仅剩一个月，浙江省安保 准备进入倒计时，一场放假、停工和限行为主轴的“民间空城出游记 ”即将上演。 　　G20杭州峰会9月4日至5日召开，中国国家主席习近平届时将在杭 州迎接包括美国总统奥巴马在内的二十国领导人和国际嘉宾，杭州市 政府定于9月1日至7日放假。 　　根据《G20峰会浙江省环境保障工作方案》，停工期为8月26日至 9月6日。峰会期间，以主场馆为中心按50、100和300公里为半径划定 核心区、严控区和管控区；所有区域拒收化工、易燃和危险品。 　　9月1至6日，浙江省域内的无人机等小型航空器和空飘物被临时 性管制禁飞。根据峰会的国际惯例和环境质量要求，浙江省将视情况 限行车辆。 　　杭州市总工会近期开展“百万职工大行动，安全隐患大排查”， 要求杭州企业努力提升业务素质和预防事故能力，做好消防演练和食 品安全检查。物业管理部门还对出租房屋及流动人口进行大排查以“ 护航G20”。 　　遇大型纪念活动或国际赛事，主办地居民被放假、工地被停工已 是惯例。南京2013年举办青奥运，开幕当天放假一天，绝大多数工地 前后停工约一个月。2014年北京召开亚太经济合作组织（APEC）会议 ，放假六天。 　　突如其来的G20七天假期，让旅游业者想尽办法，“喊”杭州市 民出城游玩。 　　黄山市旅游局上个月14日在杭州推介，9月1日至7日，黄山风景 区、西递、宏村等黄山市55个景区向杭州市民免费开放。 　　旺季期间，黄山风景区一张门票为230元（人民币，下同，46.7 新元），西递景区门票是104元，杭州市民不仅可以省下门票费用，还 有九条精品路线可选择体验徽州民宿和风情。 有网友抱怨 　　贵州安顺黄果树景区也向杭州市民抛出橄榄枝，计划推出两万本 全域旅游护照，杭州市民登陆指定的旅游公众号申请，9月1日起至今 年底到安顺龙宫、格凸河等景区集满三个免费游览章后，还可免费玩 黄果树景区。 　　与此同时，浙江省也加强了安保措施。从上个月起，进出浙江境 内大小酒店的住客已被要求严格执行一人一证实名登记。 　　上周和先生到浙江嘉兴探望朋友的上海市民张女士（62岁）说， 原先夫妻俩只要提供老公的身份证就可以入住，不过这回前台服务员 表示为了G20，公安局规定住客必须一人一证登记。 　　面对临近会期越来越多的限制，不少网友表示G20给生活带来诸 多不便。有网友抱怨，现在已经需要自取快递。 Singapore Press Holdings Limited 文件 LIAZAO0020160801ec820000w,教育
9,50871,G20杭州峰会9月4日至5日召开，杭州市政府定于9月1日至7日放假。 旅游业者想尽办法，“喊”杭州市民出城游玩。 顾功垒　上海特派员 gugl@sph.com.sg 　　 距离二十国集团（G20）杭州峰会召开仅剩一个月，浙江省安保 准备进入倒计时，一场放假、停工和限行为主轴的“民间空城出游记 ”即将上演。 　　G20杭州峰会9月4日至5日召开，中国国家主席习近平届时将在杭 州迎接包括美国总统奥巴马在内的二十国领导人和国际嘉宾，杭州市 政府定于9月1日至7日放假。 　　根据《G20峰会浙江省环境保障工作方案》，停工期为8月26日至 9月6日。峰会期间，以主场馆为中心按50、100和300公里为半径划定 核心区、严控区和管控区；所有区域拒收化工、易燃和危险品。 　　9月1至6日，浙江省域内的无人机等小型航空器和空飘物被临时 性管制禁飞。根据峰会的国际惯例和环境质量要求，浙江省将视情况 限行车辆。 　　杭州市总工会近期开展“百万职工大行动，安全隐患大排查”， 要求杭州企业努力提升业务素质和预防事故能力，做好消防演练和食 品安全检查。物业管理部门还对出租房屋及流动人口进行大排查以“ 护航G20”。 　　遇大型纪念活动或国际赛事，主办地居民被放假、工地被停工已 是惯例。南京2013年举办青奥运，开幕当天放假一天，绝大多数工地 前后停工约一个月。2014年北京召开亚太经济合作组织（APEC）会议 ，放假六天。 　　突如其来的G20七天假期，让旅游业者想尽办法，“喊”杭州市 民出城游玩。 　　黄山市旅游局上个月14日在杭州推介，9月1日至7日，黄山风景 区、西递、宏村等黄山市55个景区向杭州市民免费开放。 　　旺季期间，黄山风景区一张门票为230元（人民币，下同，46.7 新元），西递景区门票是104元，杭州市民不仅可以省下门票费用，还 有九条精品路线可选择体验徽州民宿和风情。 有网友抱怨 　　贵州安顺黄果树景区也向杭州市民抛出橄榄枝，计划推出两万本 全域旅游护照，杭州市民登陆指定的旅游公众号申请，9月1日起至今 年底到安顺龙宫、格凸河等景区集满三个免费游览章后，还可免费玩 黄果树景区。 　　与此同时，浙江省也加强了安保措施。从上个月起，进出浙江境 内大小酒店的住客已被要求严格执行一人一证实名登记。 　　上周和先生到浙江嘉兴探望朋友的上海市民张女士（62岁）说， 原先夫妻俩只要提供老公的身份证就可以入住，不过这回前台服务员 表示为了G20，公安局规定住客必须一人一证登记。 　　面对临近会期越来越多的限制，不少网友表示G20给生活带来诸 多不便。有网友抱怨，现在已经需要自取快递。 Singapore Press Holdings Limited 文件 LIAZAO0020160801ec820000w,教育
